HIP	Vmag	_RA.icrs	_DE.icrs
 	mag	deg	deg
------	-----	------------	------------
632	9.06	1.92082442	-56.24954281
633	8.79	1.92766519	-46.54471373
634	7.44	1.92960955	37.18544298
635	6.43	1.93380486	-2.54867948
636	5.93	1.94541637	-22.50855978
637	8.85	1.94920718	-5.48591819
638	9.86	1.95050571	21.74557373
639	8.55	1.95166513	-11.12906088
640	7.66	1.96241057	38.72173226
641	7.82	1.96702396	55.57704061
642	9.08	1.97179469	-4.85495442
643	10.1	1.97787931	-42.15395849
644	8.21	1.97868597	-51.25790717
645	8.85	1.99682472	-14.22694379
647	7.79	1.99745629	-78.21099141
646	7.58	1.99728792	-18.68472704
649	7.85	2.0009802	-7.54469676
648	7.18	2.00144687	-78.59875939
650	7.54	2.0031745	29.83751302
651	9.72	2.00345707	-39.6121174
652	7.12	2.00713891	31.39116087
653	9.77	2.00792818	-30.03168237
654	8.84	2.00867296	-45.38217651
655	5.67	2.0145307	-33.52932605
656	8.15	2.0195491	53.79624571
657	9.61	2.02084045	-29.41640962
658	8.19	2.02411364	4.92724437
659	7.27	2.03999176	31.37899833
660	8.51	2.04170356	71.15945163
661	8.36	2.04901351	-59.06307266
663	10	2.04932235	-38.28135328
662	8.74	2.04992387	-70.05582487
664	6.18	2.05040062	-2.44771079
665	10.26	2.05482965	-43.64686176
666	10.16	2.05679294	-49.72183146
667	8.31	2.0569132	29.73227295
668	8.58	2.06113717	42.22342145
669	7.04	2.06817781	-14.82449182
670	8.81	2.07062846	34.49524994
671	5.99	2.07305222	-8.82411211
673	8.22	2.07775921	-32.70096458
674	9.86	2.08811049	-42.94363893
675	8	2.09229197	3.44064386
676	9.4	2.09464776	21.92445812
678	9.1	2.09634536	-19.22415227
677	2.07	2.09691071	29.09043199
679	8.11	2.10118608	50.24533184
680	8.89	2.10338548	-57.19513332
681	9.43	2.10559347	-51.40074375
682	7.59	2.10727265	6.61680511
683	8.72	2.10851908	41.95798172
684	9.86	2.11034444	-44.27362648
685	9.23	2.11210671	-53.44316775
686	9.5	2.11298003	-30.06859682
687	10.73	2.11366527	17.42429984
688	7.59	2.11526219	-24.09373332
689	7.41	2.11860968	34.93454665
690	9.26	2.1241555	-66.51420174
691	7.78	2.1258281	52.33645762
692	7.76	2.12871017	-6.79215225
693	8.94	2.13026547	20.26728029
694	8.95	2.13131853	11.17153333
695	6.41	2.13689902	63.20404041
696	6.11	2.13957031	-17.57815508
697	7.76	2.1474567	53.25410046
698	7.38	2.16157313	-74.23845507
699	6.21	2.1705757	36.62712509
700	7.05	2.17963277	-2.22258288
701	7.44	2.18349158	74.21476533
702	8.5	2.18735405	-52.32806944
704	7.84	2.19114917	14.1419758
703	11.01	2.19246888	-86.18848929
706	7.88	2.19244678	-34.79437321
707	9.1	2.19474971	-66.75946143
708	8.65	2.1950277	-36.74417296
705	8.41	2.21177986	86.78788206
709	7.81	2.20207121	-47.06077348
710	7.43	2.2031128	8.02186808
711	8.76	2.20475721	-7.89706341
712	7.58	2.20788563	40.8410187
713	9.55	2.20791144	-60.26456529
714	6.82	2.20834896	40.49454927
715	10.24	2.21608539	-25.54775504
716	6.24	2.21723556	25.46298481
717	7.31	2.21767867	0.69245292
718	10.52	2.22048255	-42.9182423
719	9.27	2.22087124	-35.81905226
720	7.13	2.22351888	-22.17951754
721	9.14	2.23047846	-26.22364803
722	8.48	2.23578026	12.80438226
723	8.57	2.23847189	66.45666219
724	7.21	2.24683285	-21.20635318
725	9.05	2.24796807	34.36793087
726	7.72	2.24866173	-39.73715905
727	8.03	2.24969155	49.85807882
728	6.47	2.25067139	28.24754279
729	5.57	2.2601029	18.21196314
730	6.32	2.25997397	-54.00193122
732	7.78	2.26117338	-35.09187909
731	11.65	2.26207148	27.65159585
733	8.58	2.2618578	9.84996692
734	10.37	2.26185869	-24.33500306
735	9.23	2.26321986	22.66426555
736	9.2	2.26385132	-59.28097377
737	6.93	2.2653089	40.84285922
738	11.73	2.26816992	-27.12213874
739	9.32	2.26645148	-28.33008399
740	7.11	2.26795822	19.92468855
741	9.79	2.27356586	-36.65058806
742	8.21	2.2767565	-50.60779924
743	8.42	2.27906766	-50.01364669
744	7.05	2.28575583	-50.16680239
745	9.26	2.28884132	-38.2896288
746	2.28	2.29452113	59.1497796
