HIP	RA	DEC	Bayer	Cst
26221	0	0	the01	Ori
26224	0	0	the01	Ori
26235	0	0	the02	Ori
26241	0	0	iot  	Ori
26587	0	0	     	Cam
26268	0	0	     	Ori
26311	0	0	eps  	Ori
26382	0	0	     	Tau
26366	0	0	phi02	Ori
26451	0	0	zet  	Tau
26536	0	0	     	Aur
26001	0	0	     	Dor
26069	0	0	bet  	Dor
26412	0	0	nu.01	Col
26640	0	0	     	Tau
26549	0	0	sig  	Ori
26594	0	0	ome  	Ori
26460	0	0	nu.02	Col
26563	0	0	d    	Ori
26942	0	0	     	Cam
27046	0	0	     	Cam
26777	0	0	     	Tau
26727	0	0	zet  	Ori
25918	0	0	gam  	Men
26634	0	0	alf  	Col
26885	0	0	b    	Ori
26865	0	0	     	Lep
27249	0	0	     	Cam
27196	0	0	omi  	Aur
27283	0	0	     	Cam
27072	0	0	gam  	Lep
27265	0	0	     	Tau
27316	0	0	     	Tau
27338	0	0	     	Tau
26264	0	0	iot  	Men
27592	0	0	     	Cam
27364	0	0	     	Tau
27483	0	0	tau  	Aur
27204	0	0	mu.  	Col
27288	0	0	zet  	Lep
27386	0	0	     	Ori
27468	0	0	     	Tau
27366	0	0	kap  	Ori
27731	0	0	     	Cam
27511	0	0	     	Tau
27639	0	0	ups  	Aur
27673	0	0	nu.  	Aur
27100	0	0	del  	Dor
27581	0	0	     	Tau
27321	0	0	bet  	Pic
26394	0	0	pi.  	Men
27971	0	0	     	Cam
27949	0	0	ksi  	Aur
27658	0	0	     	Ori
27743	0	0	     	Tau
27830	0	0	     	Tau
27654	0	0	del  	Lep
27750	0	0	     	Ori
27628	0	0	bet  	Col
27530	0	0	gam  	Pic
27913	0	0	chi01	Ori
27965	0	0	     	Ori
27810	0	0	lam  	Col
25776	0	0	     	Men
27989	0	0	alf  	Ori
27369	0	0	lam  	Men
27534	0	0	eps  	Dor
28358	0	0	del  	Aur
28237	0	0	     	Tau
28103	0	0	eta  	Lep
28010	0	0	ksi  	Col
28360	0	0	bet  	Aur
28404	0	0	pi.  	Aur
28098	0	0	sig  	Col
28380	0	0	the  	Aur
28271	0	0	     	Ori
28499	0	0	     	Aur
27890	0	0	     	Dor
28296	0	0	     	Ori
28199	0	0	gam  	Col
28321	0	0	     	Mon
28325	0	0	     	Mon
28561	0	0	     	Tau
28677	0	0	     	Aur
28328	0	0	eta  	Col
28765	0	0	     	Cam
28614	0	0	mu.  	Ori
27566	0	0	kap  	Men
28574	0	0	     	Mon
28691	0	0	     	Ori
28823	0	0	     	Aur
28734	0	0	     	Gem
28716	0	0	chi02	Ori
28946	0	0	     	Aur
28812	0	0	     	Ori
28814	0	0	     	Ori
28816	0	0	     	Lep
28756	0	0	     	Col
28969	0	0	     	Gem
29246	0	0	     	Cam
28910	0	0	the  	Lep
28874	0	0	S    	Lep
29038	0	0	nu.  	Ori
29490	0	0	     	Cam
29048	0	0	     	Lep
28957	0	0	pi.01	Col
29225	0	0	     	Gem
29388	0	0	     	Aur
29034	0	0	the  	Col
29288	0	0	     	Gem
29064	0	0	pi.02	Col
29379	0	0	     	Gem
29433	0	0	     	Ori
28909	0	0	eta01	Dor
29450	0	0	BU   	Gem
29434	0	0	f01  	Ori
29426	0	0	ksi  	Ori
29730	0	0	     	Cam
29276	0	0	del  	Pic
29919	0	0	     	Lyn
29655	0	0	eta  	Gem
29696	0	0	kap  	Aur
29650	0	0	     	Ori
29134	0	0	nu.  	Dor
29704	0	0	f02  	Ori
29651	0	0	gam  	Mon
29884	0	0	     	Aur
29736	0	0	     	Ori
29789	0	0	     	Gem
30060	0	0	     	Lyn
29949	0	0	     	Aur
29840	0	0	     	Gem
29800	0	0	k    	Ori
29353	0	0	eta02	Dor
29850	0	0	l    	Ori
30003	0	0	     	Gem
30278	0	0	     	Lyn
29885	0	0	     	Mon
29807	0	0	kap  	Col
30272	0	0	     	Lyn
30046	0	0	     	Gem
29271	0	0	alf  	Men
30049	0	0	     	Gem
30247	0	0	     	Aur
30073	0	0	     	Mon
30122	0	0	zet  	CMa
30343	0	0	mu.  	Gem
30520	0	0	psi01	Aur
30651	0	0	RR   	Lyn
30679	0	0	     	Lyn
30324	0	0	bet  	CMa
30277	0	0	del  	Col
30419	0	0	eps  	Mon
30422	0	0	eps  	Mon
30564	0	0	BL   	Ori
30541	0	0	T    	Mon
30342	0	0	nu.  	Pic
30438	0	0	alf  	Car
30757	0	0	     	Gem
30769	0	0	     	Gem
31039	0	0	     	Lyn
30827	0	0	RT   	Aur
