HD	RA	DEG	Bayer	Cst
11257	27.7167083	11.0434444	     	Cet
11291	28.0389583	50.7928611	     	Per
11353	27.8650417	-10.3349444	zet  	Cet
11415	28.5986667	63.6701389	eps  	Cas
11428	28.3222917	40.7298056	     	And
11443	28.2704167	29.5793889	alf  	Tri
11502	28.382375	19.2940833	gam01	Ari
11503	28.3825	19.2958333	gam02	Ari
11529	29	68.6852778	ome  	Cas
11559	28.3889167	3.1874722	ksi  	Psc
11604	26.9445417	-80.1761667	tau02	Hyi
11636	28.6597917	20.8083056	bet  	Ari
11695	28.41175	-46.3024444	psi  	Phe
11733	28.14475	-67.9445	eta01	Hyi
11749	29.0384583	37.2518056	     	And
11753	28.5919167	-42.4968889	phi  	Phe
11763	28.962625	23.5773333	     	Ari
11909	29.337625	17.8175833	iot  	Ari
11930	29.1673333	-22.5267222	     	Cet
11937	28.9867917	-51.6095833	chi  	Eri
11949	29.6395833	49.20425	     	Per
11973	29.4824167	23.5960833	lam  	Ari
11977	28.733375	-67.6474722	eta02	Hyi
12020	29.4974583	-2.0595	     	Cet
12021	29.4836667	-2.0996667	     	Cet
12111	30.4897917	70.9070556	A    	Cas
12211	30.1406667	27.88875	chi  	Tri
12216	30.859125	72.42125	     	Cas
12230	31.279375	77.2814444	     	Cas
12235	30.0375833	3.0976389	     	Psc
12255	29.9424583	-20.8245833	     	Cet
12274	30.0009167	-21.0777778	ups  	Cet
12279	30.7187083	64.9015	     	Cas
12301	30.7507917	64.3900278	     	Cas
12303	30.5752917	54.4875556	g    	Per
12311	29.691125	-61.5699167	alf  	Hyi
12339	31.3815833	76.1151111	     	Cas
12363	28.959375	-78.3486667	sig  	Hyi
12438	30.3116667	-30.0015556	pi.  	For
12446	30.5116667	2.76375	alf  	Psc
12447	30.5116667	2.7636111	alf  	Psc
12471	30.7415417	33.2841389	eps  	Tri
12524	30.4266667	-44.7133889	chi  	Phe
12533	30.9746667	42.3298611	gam01	And
12534	30.9779167	42.3308333	gam02	And
12558	30.9135833	25.9354444	     	Ari
12573	30.798375	0.1284444	     	Cet
12641	30.9505	-0.3401389	     	Cet
12767	31.122625	-29.2968333	nu.  	For
12800	32.2820417	71.5525833	     	Cas
12869	31.6412917	22.6484167	kap  	Ari
12885	31.7050833	25.7045833	     	Ari
12929	31.792875	23.4627778	alf  	Ari
13041	32.1214583	37.8591944	     	And
13161	32.3855	34.9873889	bet  	Tri
13174	32.355375	25.9399722	     	Ari
13267	32.871625	57.6455556	     	Per
13294	32.720125	39.0395833	     	And
13295	32.723625	39.0433333	     	And
13325	32.6564167	19.5004167	     	Ari
13363	32.80025	25.9369444	     	Ari
13372	32.8541667	31.5264167	     	Tri
