HR	Name	HD	RA	DEC	mag	Type
5868	 27Lam Ser	141004	15 46 26.6	+07 21 11	4.43	  G0-V
5869	          	141168	15 50 06.9	-53 12 34	5.77	  B9Vn:
5870	 31Ups Ser	141187	15 47 17.3	+14 06 55	5.71	  A3V
5871	          	141194	15 49 57.5	-48 54 43	5.84	  A1V
5872	          	141296	15 50 16.3	-45 24 06	6.12	  A9III
5873	          	141318	15 51 06.8	-55 03 21	5.73	  B2II
5874	          	141353	15 48 13.3	+13 47 19	6	 gK2
5875	          	141378	15 48 56.8	-03 49 07	5.53	  A5IV
5876	          	141413	15 52 56.7	-65 09 09	6.54	  A5IV
5877	          	141456	15 48 02.0	+31 44 09	6.44	  K5
5878	          	141472	15 46 34.8	+55 28 29	5.92	 gK3
5879	 35Kap Ser	141477	15 48 44.4	+18 08 30	4.09	  M0.5IIIab
5880	          	141527	15 48 34.4	+28 09 24	5.85	  G0Iep
5881	 32Mu  Ser	141513	15 49 37.2	-03 25 49	3.53	  A0V
5882	          	141544	15 51 31.5	-47 03 38	6.01	  K2III
5883	  5Chi Lup	141556	15 50 57.5	-33 37 38	3.95	  B9IV
5884	          	141585	15 53 22.8	-62 36 25	6.19	  K3III
5885	  1    Sco	141637	15 50 58.7	-25 45 05	4.64	  B3V
5886	          	141653	15 46 40.0	+62 35 58	5.19	  A2IV
5887	          	141675	15 47 38.0	+55 22 36	5.86	  A3m
5888	 34Ome Ser	141680	15 50 17.5	+02 11 47	5.23	  G8III
5889	 10Del CrB	141714	15 49 35.7	+26 04 06	4.63	  G3.5III-IVFe-1
5890	          	141724	15 52 51.5	-50 36 55	6.6	  K3III
5891	   Kap TrA	141767	15 55 29.6	-68 36 11	5.09	  G5IIa
5892	 37Eps Ser	141795	15 50 49.0	+04 28 40	3.71	  A2Vm
5893	          	141832	15 52 12.8	-29 53 12	6.4	  K1III
5894	          	141850	15 50 41.7	+15 08 01	5.2	  M7IIIe
5895	 36    Ser	141851	15 51 15.6	-03 05 26	5.11	  A3Vnp
5896	          	141853	15 51 38.4	-14 08 01	6.19	  G8III
5897	   Bet TrA	141891	15 55 08.5	-63 25 50	2.85	  F2III
5898	          	141913	15 54 52.6	-60 44 36	6.15	  B9II
5899	 38Rho Ser	141992	15 51 15.9	+20 58 40	4.76	  K5-III
5900	          	142049	15 55 32.3	-60 10 40	5.77	  G5II-III+A3
5901	 11Kap CrB	142091	15 51 13.9	+35 39 27	4.82	  K1IVa
5902	 45Lam Lib	142096	15 53 20.1	-20 10 02	5.03	  B2.5V
5903	 16Zet UMi	142105	15 44 03.5	+77 47 40	4.32	  A3Vn
5904	  2    Sco	142114	15 53 36.7	-25 19 38	4.59	  B2.5Vn
5905	          	142139	15 56 06.0	-60 28 58	5.76	  A3V
5906	          	142165	15 53 53.8	-24 31 59	5.39	  B6IVn
5907	          	142184	15 53 55.8	-23 58 41	5.42	  B2.5Vne
5908	 46The Lib	142198	15 53 49.5	-16 43 46	4.15	  G8.5IIIb
5909	          	142244	15 52 56.2	+17 24 13	6.36	  K0
5910	          	142250	15 54 30.0	-27 20 19	6.14	  B6Vp
5911	 39    Ser	142267	15 53 12.1	+13 11 48	6.1	  G0VFe-0.5
5912	  3    Sco	142301	15 54 39.5	-25 14 37	5.87	  B8IIIp
5913	          	142357	15 53 34.9	+16 04 30	6.09	  F5II-III
5914	  1Chi Her	142373	15 52 40.5	+42 27 06	4.62	  F8VFe-2Hdel -1
5915	 47    Lib	142378	15 55 00.3	-19 22 59	5.94	  B5V
5916	          	142407	15 55 30.4	-31 05 01	6.21	  K4III
5917	  4    Sco	142445	15 55 30.1	-26 15 57	5.62	  A3V
5918	          	142448	15 56 06.5	-39 51 51	6.03	  B6V
5919	 40    Ser	142500	15 54 40.3	+08 34 49	6.29	  A7Vn
5920	          	142514	15 58 58.1	-65 02 16	5.75	  B7III
5921	          	142529	15 57 03.8	-48 09 44	6.31	  F1IV
5922	          	142531	15 52 16.6	+55 49 36	5.81	 gG8
5923	          	142542	15 56 13.9	-31 47 09	6.29	  F6V
5924	          	142574	15 54 34.6	+20 18 39	5.44	  M0III
5925	   Xi 1Lup	142629	15 56 53.5	-33 57 59	5.12	  A3V
5926	   Xi 2Lup	142630	15 56 54.2	-33 57 51	5.62	  B9V
